description,severity,emergency_type,age_group,conscious,breathing_difficulty,severe_breathing_difficulty,bleeding_level,chest_pain,seizure,stroke_signs,burn_level,allergic_reaction,pregnancy_emergency,major_accident,violence_risk
"Minor vehicle collision, driver has neck pain and is alert.",medium,elder_care,senior,True,False,False,none,False,False,False,none,False,False,False,False
"Moderate burns on both arms from gas explosion. In pain, conscious. Requesting immediate assistance.",high,medical,senior,True,False,False,none,False,False,True,none,False,False,False,False
"High fever 40°C for two days, unable to reduce with medication.",medium,fire,adult,True,True,False,none,False,False,False,minor,False,False,False,False
"High fever 40°C for two days, unable to reduce with medication.",medium,fire,adult,True,False,False,none,False,False,False,minor,False,False,False,False
Minor bruise on knee after a fall. Alert.,low,other,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Mild sore throat, no fever, able to eat normally. Scene is safe.",low,medical,adult,True,False,False,minor,False,False,False,none,False,False,False,False
"Moderate smoke inhalation, coughing, slightly short of breath but conscious. Requesting immediate assistance.",medium,fire,adult,True,True,False,none,False,False,False,minor,False,False,False,False
Seizure episode lasting 3 minutes. Patient now confused but breathing.,high,fire,adult,True,False,False,none,False,False,False,moderate,False,False,False,False
"Knife wound to shoulder, bleeding controlled but significant.",high,fire,adult,True,False,False,none,False,False,False,moderate,False,False,False,False
"Mild headache for a few hours, no fever or vomiting.",low,medical,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Minor vehicle collision, driver has neck pain and is alert.",medium,medical,child,True,False,False,none,False,False,False,none,False,False,False,False
"Elderly person fell from bed. Complains of hip pain, conscious.",medium,elder_care,senior,True,False,False,none,False,False,False,none,False,False,False,False
"Newborn not breathing after delivery, emergency resuscitation needed. Family member is calling for help.",critical,fire,adult,False,True,True,none,False,False,False,severe,False,False,False,False
"Gunshot wound to chest, unconscious, critical blood loss.",critical,medical,adult,False,True,True,none,False,False,False,none,False,False,False,False
"Severe abdominal pain radiating to back, possible internal bleeding.",high,medical,senior,True,True,False,none,True,False,False,none,False,False,False,False
Deep laceration requiring stitches. Bleeding controlled with pressure.,medium,fire,adult,True,True,False,none,False,False,False,minor,False,False,False,False
Slight dizziness after standing up quickly. No other symptoms. Requesting immediate assistance.,low,other,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Mild sore throat, no fever, able to eat normally. Family member is calling for help.",low,medical,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Mild headache for a few hours, no fever or vomiting.",low,other,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Moderate burns on both arms from gas explosion. In pain, conscious.",high,medical,senior,True,False,False,none,False,False,True,none,False,False,False,False
Patient reporting severe chest pain radiating to left arm. Conscious but distressed.,high,medical,senior,True,True,False,none,True,False,False,none,False,False,False,False
"Full body severe burns, patient unconscious, severe breathing difficulty.",critical,fire,adult,False,True,True,none,False,False,False,severe,False,False,False,False
Small burn from steam on hand. Mild redness.,low,other,senior,True,False,False,none,False,False,False,none,False,False,False,False
Insect bite with local redness. No swelling of lips or throat.,low,other,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Moderate burns on both arms from gas explosion. In pain, conscious.",high,fire,adult,True,False,False,none,False,False,False,moderate,False,False,False,False
"Drug overdose, completely unresponsive, laboured breathing. Family member is calling for help.",critical,accident,adult,False,True,True,severe,False,False,False,none,False,False,True,False
"Electrocution victim unresponsive, severe burns at contact points. Situation ongoing.",critical,fire,adult,False,True,True,none,False,False,False,severe,False,False,False,False
"Minor cut on finger while cooking. Small amount of bleeding, alert and responsive.",low,medical,adult,True,False,False,minor,False,False,False,none,False,False,False,False
"Mild nausea after eating. No vomiting, fully conscious.",low,medical,adult,True,False,False,minor,False,False,False,none,False,False,False,False
"Major motorcycle accident, rider conscious but pinned under vehicle. Suspected fractures.",high,fire,adult,True,False,False,none,False,False,False,moderate,False,False,False,False
"Electrocution victim unresponsive, severe burns at contact points.",critical,accident,adult,False,True,True,severe,False,False,False,none,False,False,True,False
"Diabetic patient with blood sugar 350, weak but responsive.",medium,medical,child,True,False,False,none,False,False,False,none,False,False,False,False
"Person submerged in water, rescued, not breathing, pale.",critical,medical,adult,True,True,True,none,False,False,False,none,True,False,False,False
"Major motorcycle accident, rider conscious but pinned under vehicle. Suspected fractures.",high,medical,adult,True,False,False,none,False,True,False,none,False,False,False,False
"High fever 40°C for two days, unable to reduce with medication. Situation ongoing.",medium,elder_care,senior,True,False,False,none,False,False,False,none,False,False,False,False
"Sudden onset facial drooping, slurred speech, arm weakness — possible stroke. Scene is safe.",high,medical,senior,True,False,False,none,False,False,True,none,False,False,False,False
Seizure episode lasting 3 minutes. Patient now confused but breathing.,high,fire,adult,True,False,False,none,False,False,False,moderate,False,False,False,False
"Broken wrist from a fall. In pain but stable, no bleeding.",medium,fire,adult,True,True,False,none,False,False,False,minor,False,False,False,False
"Small kitchen fire extinguished. Minor smoke inhalation, coughing. Scene is safe.",medium,accident,adult,True,True,False,minor,False,False,False,none,False,False,False,False
"Sudden onset facial drooping, slurred speech, arm weakness — possible stroke.",high,medical,senior,True,True,False,none,True,False,False,none,False,False,False,False
Slight dizziness after standing up quickly. No other symptoms. Requesting immediate assistance.,low,medical,adult,True,False,False,minor,False,False,False,none,False,False,False,False
"Severe abdominal pain radiating to back, possible internal bleeding.",high,medical,adult,True,False,False,none,False,True,False,none,False,False,False,False
Twisted ankle during a walk. Mild swelling but able to stand.,low,other,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Minor vehicle collision, driver has neck pain and is alert.",medium,elder_care,senior,True,False,False,none,False,False,False,none,False,False,False,False
Deep laceration requiring stitches. Bleeding controlled with pressure. Family member is calling for help.,medium,medical,child,True,False,False,none,False,False,False,none,False,False,False,False
"Diabetic patient with blood sugar 350, weak but responsive.",medium,elder_care,senior,True,False,False,none,False,False,False,none,False,False,False,False
"Electrocution victim unresponsive, severe burns at contact points. Requesting immediate assistance.",critical,medical,adult,True,True,True,none,False,False,False,none,True,False,False,False
"Major motorcycle accident, rider conscious but pinned under vehicle. Suspected fractures.",high,medical,adult,True,False,False,none,False,True,False,none,False,False,False,False
"Mild nausea after eating. No vomiting, fully conscious.",low,medical,adult,True,False,False,none,False,False,False,none,False,False,False,False
"Major fall from scaffold, conscious, possible spinal injury. Unclear history.",high,fire,adult,True,False,False,none,False,False,False,moderate,False,False,False,False
"High fever 40°C for two days, unable to reduce with medication.",medium,medical,child,True,False,False,none,False,False,False,none,False,False,False,False
